site,survey,species,count
Arroyo Quemado,3,sanderling,17
Arroyo Quemado,3,western_sandpiper,0
Arroyo Quemado,3,least_sandpiper,0
Arroyo Quemado,3,dunlin,0
Butterfly,1,black_bellied_plover,0
Butterfly,1,snowy_plover,0
Butterfly,1,semipalmated_plover,0
Butterfly,1,killdeer,0
Butterfly,1,greater_yellowlegs,0
Butterfly,1,willet,0
Butterfly,1,spotted_sandpiper,1
Butterfly,1,whimbrel,0
Butterfly,1,long_billed_curlew,0
Butterfly,1,marbled_godwit,0
Butterfly,1,black_turnstone,0
Butterfly,1,sanderling,0
Butterfly,1,western_sandpiper,0
Butterfly,1,least_sandpiper,0
Butterfly,1,dunlin,0
Butterfly,2,black_bellied_plover,0
Butterfly,2,snowy_plover,0
Butterfly,2,semipalmated_plover,0
Butterfly,2,killdeer,0
Butterfly,2,greater_yellowlegs,0
Butterfly,2,willet,0
Butterfly,2,spotted_sandpiper,0
Butterfly,2,whimbrel,0
Butterfly,2,long_billed_curlew,0
Butterfly,2,marbled_godwit,0
Butterfly,2,black_turnstone,0
Butterfly,2,sanderling,0
Butterfly,2,western_sandpiper,0
Butterfly,2,least_sandpiper,0
Butterfly,2,dunlin,0
Butterfly,3,black_bellied_plover,13
Butterfly,3,snowy_plover,0
Butterfly,3,semipalmated_plover,0
Butterfly,3,killdeer,0
Butterfly,3,greater_yellowlegs,0
Butterfly,3,willet,38
Butterfly,3,spotted_sandpiper,0
Butterfly,3,whimbrel,0
Butterfly,3,long_billed_curlew,0
Butterfly,3,marbled_godwit,9
Butterfly,3,black_turnstone,0
Butterfly,3,sanderling,0
Butterfly,3,western_sandpiper,0
Butterfly,3,least_sandpiper,0
Butterfly,3,dunlin,0
Carp State,1,black_bellied_plover,0
Carp State,1,snowy_plover,0
Carp State,1,semipalmated_plover,0
Carp State,1,killdeer,1
Carp State,1,greater_yellowlegs,0
Carp State,1,willet,83
Carp State,1,spotted_sandpiper,0
Carp State,1,whimbrel,0
Carp State,1,long_billed_curlew,0
Carp State,1,marbled_godwit,0
Carp State,1,black_turnstone,0
Carp State,1,sanderling,0
Carp State,1,western_sandpiper,0
Carp State,1,least_sandpiper,0
Carp State,1,dunlin,0
Carp State,2,black_bellied_plover,1
Carp State,2,snowy_plover,0
Carp State,2,semipalmated_plover,0
Carp State,2,killdeer,1
Carp State,2,greater_yellowlegs,0
Carp State,2,willet,20
Carp State,2,spotted_sandpiper,0
Carp State,2,whimbrel,0
Carp State,2,long_billed_curlew,0
Carp State,2,marbled_godwit,0
Carp State,2,black_turnstone,0
Carp State,2,sanderling,0
Carp State,2,western_sandpiper,0
Carp State,2,least_sandpiper,0
Carp State,2,dunlin,0
Carp State,3,black_bellied_plover,0
Carp State,3,snowy_plover,0
Carp State,3,semipalmated_plover,0
Carp State,3,killdeer,5
Carp State,3,greater_yellowlegs,0
Carp State,3,willet,31
Carp State,3,spotted_sandpiper,0
